Country,capital,lat,lon,code,continent
Brazil,Sao Paulo,-23.5475,-46.63611,BR,Sudamerica
Brazil,Rio de Janeiro,-22.90642,-43.18223,BR,Sudamerica
Brazil,Salvador,-12.97111,-38.51083,BR,Sudamerica
Brazil,Brasilia,-15.77972,-47.92972,BR,Sudamerica
Brazil,Fortaleza,-3.71839,-38.54306,BR,Sudamerica
Brazil,Belo Horizonte,-19.92083,-43.93778,BR,Sudamerica
Brazil,Manaus,-3.10194,-60.025,BR,Sudamerica
Brazil,Curitiba,-25.42778,-49.27306,BR,Sudamerica
Brazil,Recife,-8.05389,-34.88111,BR,Sudamerica
Brazil,Porto Alegre,-30.03283,-51.23019,BR,Sudamerica
Brazil,Belem,-1.45583,-48.50444,BR,Sudamerica
Brazil,Goiania,-16.67861,-49.25389,BR,Sudamerica
Brazil,Sao Luis,-2.52972,-44.30278,BR,Sudamerica
Brazil,Maceio,-9.66583,-35.73528,BR,Sudamerica
Brazil,Teresina,-5.08917,-42.80194,BR,Sudamerica
Brazil,Natal,-5.795,-35.20944,BR,Sudamerica
Brazil,Campo Grande,-20.44278,-54.64639,BR,Sudamerica
Brazil,Joao Pessoa,-7.115,-34.86306,BR,Sudamerica
Brazil,Aracaju,-10.9095,-37.0748,BR,Sudamerica
Brazil,Cuiaba,-15.5989,-56.0949,BR,Sudamerica
Brazil,Porto Velho,-8.76194,-63.90389,BR,Sudamerica
Brazil,Florianopolis,-27.5969,-48.5495,BR,Sudamerica
Brazil,Macapa,0.0344566,-51.0666,BR,Sudamerica
Brazil,Rio Branco,-9.974,-67.8076,BR,Sudamerica
Brazil,Vitoria,-20.31944,-40.33778,BR,Sudamerica
Brazil,Boa Vista,2.81954,-60.6714,BR,Sudamerica
Brazil,Palmas,-10.1689,-48.3317,BR,Sudamerica
